"","sI","tI","rho","av_accuracy","av_search","av_accuracy_s1","av_accuracy_s0"
"175",1.06998872076887,1.5,0.8,0.825,0.313876165893952,0.885564689099678,0.861937110188864
"176",0.964847341022481,1.5,0.8,0.85,0,NA,0.857966267375358
"177",0.869301115868934,1.5,0.8,0.875,0,NA,0.889815668205009
"178",0.780304146072379,1.5,0.8,0.9,0,NA,0.921325964673026
"179",0.69467046757101,1.5,0.8,0.925,0,NA,0.950622698926521
"180",0.607956831911769,1.5,0.8,0.95,0,NA,0.975514194320485
"181",3.94715387554275,2,0.8,0.6,0.692389534158549,0.857033724857954,0.848590806261675
"182",3.13834420066129,2,0.8,0.625,0.721298169692611,0.85458228018427,0.848625314110052
"183",2.59524236883453,2,0.8,0.65,0.741703662185558,0.853699172118195,0.85135631827099
"184",2.20379754343486,2,0.8,0.675,0.745451358438875,0.854570650621592,0.852791919534192
"185",1.90693940178649,2,0.8,0.7,0.738412775605451,0.857905729590922,0.85225984322778
"186",1.6729118528206,2,0.8,0.725,0.714774772466131,0.863702194003791,0.848245798412523
"187",1.4826022185056,2,0.8,0.75,0.67539772080797,0.872086925395728,0.843184976645143
"188",1.32377562678085,2,0.8,0.775,0.561889107730615,0.881893743291738,0.834726013841946
"189",1.18818294989389,2,0.8,0.8,0.207013917100674,0.893609335131571,0.824570861424155
"190",1.06998872076887,2,0.8,0.825,0,NA,0.846536031105594
"191",0.964847341022481,2,0.8,0.85,0,NA,0.879533941388536
"192",0.869301115868934,2,0.8,0.875,0,NA,0.910982806310144
"193",0.780304146072379,2,0.8,0.9,0,NA,0.939668858508653
"194",0.69467046757101,2,0.8,0.925,0,NA,0.964326116461498
"195",0.607956831911769,2,0.8,0.95,0,NA,0.983584905391686
"196",3.94715387554275,3,0.8,0.6,0.928279304737636,0.850773264475183,0.819252829390654
"197",3.13834420066129,3,0.8,0.625,0.936883245907479,0.851804341193401,0.823774573550819
"198",2.59524236883453,3,0.8,0.65,0.935537068661114,0.855201432658989,0.823425430545027
"199",2.20379754343486,3,0.8,0.675,0.929550997394749,0.861099900697389,0.820842890541073
"200",1.90693940178649,3,0.8,0.7,0.901920622506344,0.868938791635798,0.81323952252994
"201",1.6729118528206,3,0.8,0.725,0.806756394646355,0.878012982067454,0.804508284802879
"202",1.4826022185056,3,0.8,0.75,0.517445495522866,0.887199947881257,0.803486535539835
"203",1.32377562678085,3,0.8,0.775,0,NA,0.810609224608849
"204",1.18818294989389,3,0.8,0.8,0,NA,0.844846513181099
"205",1.06998872076887,3,0.8,0.825,0,NA,0.877390227714795
